Movie_Title	Release_Date
몽상가들	2005-03-25
스파이더	2005-03-11
밀리언 달러 베이비	2005-03-10
여자, 정혜	2005-03-10
바이브레이터	2005-03-04
레이	2005-02-25
피와 뼈	2005-02-25
사이드웨이	2005-02-18
우디 앨런의 애니씽 엘스	2005-02-04
텐 미니츠 - 첼로	2005-01-28
마더 데레사	2005-01-21
깃	2005-01-14
철수♡영희	2005-01-07
하울의 움직이는 성	2004-12-23
룩 앳 미	2004-12-23
마이 제너레이션	2004-12-03
귀여워	2004-11-26
클린	2004-11-26
삼사라	2004-11-26
영원과 하루	2004-11-17
모터사이클 다이어리	2004-11-12
미치고 싶을 때	2004-11-12
슈퍼 사이즈 미	2004-11-12
우작	2004-11-05
조제, 호랑이 그리고 물고기들	2004-10-29
21 그램	2004-10-23
20 30 40	2004-10-22
2046	2004-10-15
빈집	2004-10-15
이노센스	2004-10-08
웨일 라이더	2004-10-08
나쁜 교육	2004-09-17
베른의 기적	2004-09-10
거미숲	2004-09-03
진주 귀걸이를 한 소녀	2004-09-03
엘리펀트	2004-08-27
아임 낫 스케어드	2004-08-06
화씨 911	2004-07-22
천년여우	2004-07-09
인어 공주	2004-06-30
몬스터	2004-06-18
블러디 선데이	2004-06-18
퍼펙트 블루	2004-05-26
하류인생	2004-05-21
더 블루스-소울 오브 맨	2004-05-14
막달레나 시스터즈	2004-05-07
여자는 남자의 미래다	2004-05-05
엄마는 여자를 좋아해	2004-04-30
붉은 다리 아래 따뜻한 물	2004-04-30
고하토	2004-04-23
밝은 미래	2004-04-23
강령	2004-04-23
아홉살 인생	2004-03-26
송환	2004-03-19
사마리아	2004-03-05
8명의 여인들	2004-02-27
사랑도 통역이 되나요?	2004-02-20
욕망	2004-02-20
아들	2004-02-20
알게 될거야	2004-02-13
미소	2004-02-13
자토이치	2004-01-30
곰이 되고 싶어요	2004-01-30
스페니쉬 아파트먼트	2004-01-01
러브 액츄얼리	2003-12-05
우리의 릴리	2003-12-05
미스틱 리버	2003-12-05
올드보이	2003-11-21
여섯 개의 시선	2003-11-14
굿바이 레닌	2003-10-24
선택	2003-10-24
봄 여름 가을 겨울 그리고 봄	2003-09-19
영매-산자와 죽은자의 화해	2003-09-05
도그빌	2003-08-01
펀치 드렁크 러브	2003-05-08
