Number	Movie_Title	Director1	Director2	Director3	Production_Company	Importer	Distributor1	Distributor2	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number	Movie_Rate	Running_Time	Genre1	Genre2	Actor1	Actor2	Actor3
1,307 	스모킹 에이스	조 카나한			워킹 타이틀 필름,유니버셜 픽쳐스				2007-03-08	일반영화	장편	미국	137	876321500	150942	355732500	55148	청소년관람불가	100	액션	코미디	벤 애플렉	앤디 가르시아	
1,308 	쏘우 V	데이빗 해클				(주)성원아이컴	(주)성원아이컴		2008-12-03	일반영화	장편	미국	153	1044040000	150835	385276000	53247	청소년관람불가	92	범죄	공포	토빈 벨	코스타스 맨다이어	스콧 패터슨
1,309 	스테이트 오브 플레이	케빈 맥도널드				유니버설픽쳐스인터내셔널 코리아(유)			2009-04-30	일반영화	장편	미국	197	998567826	150447	411384500	58663	12세이상관람가	127	드라마	범죄	러셀 크로우	벤 애플렉	레이첼 맥아덤즈
1,310 	로맨틱 아일랜드	강철우			㈜스토리팩토리		실버스푼		2008-12-24	일반영화	장편	한국	208	1002069212	150401	363551000	51505	15세이상관람가	107	멜로/로맨스	코미디	이선균	이수경	이민기
1,311 	미스 에이전트2 : 라스베가스 잠입사건	존 파스킨			캐슬 락 엔터테인먼트	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2005-04-01	일반영화	장편	미국	102	890738500	150300	418801000	66907	12세관람가	115	액션	코미디	산드라 블록	레지나 킹	
1,312 	로드 오브 워	앤드류 니콜				미디어필름인터내셔날(주)	미디어필름인터내셔날(주)		2005-11-18	일반영화	장편	미국	98	647809000	150070	212989500	34614	15세관람가	118	액션	범죄	니콜라스 케이지	에단 호크	
1,313 	2046	왕가위			아르떼,콜럼비아 픽쳐스 코포레이션,프랑스3시네마,젯톤프로덕션,제2 독일 텔레비젼 협회,포르티시모 필름	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션		2004-10-15	다양성(예술)영화	장편	홍콩	69	797104500	149700	441097500	78540	18세관람가	120	드라마		기무라 다쿠야	양조위	장첸
1,314 	신나는 동물농장(애니)	스티브 오데커크				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2007-01-18	일반영화	장편	미국	108	744049500	149086	208749500	36492	전체관람가	89	애니메이션	코미디	케빈 제임스	커트니 콕스	
1,315 	짱구는 못말려 극장판:태풍을 부르는 노래하는 엉덩이 폭탄	무토우 유지				씨제이 씨지브이(CJ CGV)(주)	씨제이 씨지브이(CJ CGV)(주)		2009-09-24	일반영화	장편	일본	87	1032246002	148964	297200000	41600	전체관람가	102	애니메이션	코미디	나라하시 미키	후지와라 케이지	야지마 아키코
1,316 	투 브라더스	장 자끄 아노			TF1 필름 프로덕션	㈜미로비젼	씨제이엔터테인먼트(주)		2006-01-20	일반영화	장편	프랑스	95	876487000	148899	338245000	53204	전체관람가	104	드라마	가족	가이 피어스	장-클로드 드레이퍼스	프레디 하이모어
1,317 	익스펜더블 3	패트릭 휴즈				(유)조이앤컨텐츠그룹	롯데쇼핑㈜롯데엔터테인먼트		2014-08-20	일반영화	장편	미국	320	1136713000	148835	279707300	35119	15세이상관람가	126	액션	어드벤처	실베스터 스탤론	제이슨 스타뎀	안토니오 반데라스
1,318 	파이어월	리차드 론크레인			비콘픽쳐스,빌리지 로드쇼 픽쳐스,워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2006-02-17	일반영화	장편	미국	110	890321000	148600	417747500	66097	12세관람가	105	액션	스릴러	해리슨 포드	폴 베타니	
1,319 	기프트	그렉 마크스				(주)성원아이컴	(주)성원아이컴		2009-03-26	일반영화	장편	미국	188	996472520	148138	374627000	53252	15세이상관람가	105	액션	스릴러	쉐인 웨스트	에드워드 번즈	빙 라메스
1,320 	발리언트(애니)	게리 채프먼			뱅가드 애니메이션		브에나비스타인터내셔널코리아		2005-08-05	일반영화	장편	영국	103	766611500	147877	240183500	38989	전체관람가	75	애니메이션	코미디	이완 맥그리거		
1,321 	화피	진가상					(주)시너지하우스 (시너지)		2008-10-23	일반영화	장편	홍콩	172	975274000	147450	256622500	36711	15세이상관람가	103	스릴러	판타지	조미	저우쉰	진곤
1,322 	크레이지	브렉 에이즈너			오버츄어 필름	데이지엔터테인먼트	(주)넥스트엔터테인먼트월드(NEW)		2010-04-08	일반영화	장편	미국	196	1123006998	146377	364397000	45158	청소년관람불가	100	공포	스릴러	티모시 올리펀트	라다 미첼	조 앤더슨
1,323 	웨딩드레스	권형진			(주)로드픽쳐스		싸이더스 픽쳐스		2010-01-14	일반영화	장편	한국	183	1014636235	146148	219105000	29532	전체관람가	110	드라마		송윤아	김향기	
1,324 	게스후	케빈 로드니 설리반				이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션		2005-09-02	일반영화	장편	미국	110	791249500	146000	365270500	59434	12세관람가	105	코미디		에쉬튼 커처	베니 맥	
1,325 	원피스 극장판: 스트롱 월드	사카이 무네히사			도에이 애니메이션 컴퍼니	투니버스(주)온미디어	투니버스(주)온미디어		2010-02-11	일반영화	장편	일본	76	987877070	145751	254261500	36690	전체관람가	113	애니메이션	판타지	히라타 히로아키	나가시마 유이치	
1,326 	비포 선셋	리차드 링클레이터			캐슬 락 엔터테인먼트,디투어 필름프로덕션	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2004-10-22	일반영화	장편	미국	42	703740500	145300	492934500	87900	15세관람가	80	드라마		줄리 델피	에단 호크	
1,327 	엑소시스트: 더 비기닝	레니 할린			모건 크릭 프로덕션즈	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2004-11-17	일반영화	장편	미국	67	506528500	145300	217657000	44500	18세관람가	114	공포		이자벨라 스코럽코	스텔란 스카스가드	
1,328 	천년학	임권택			영화사키노투(주)		(주)프라임엔터테인먼트		2007-04-12	다양성(예술)영화	장편	한국	189	847948500	145271	402472500	62146	12세이상관람가	110	드라마		조재현	오정해	
1,329 	철의 여인	필리다 로이드				필라멘트픽쳐스	필라멘트픽쳐스		2012-02-23	일반영화	장편	영국	162	1079070500	144338	601412000	78293	12세이상관람가	105	드라마		메릴 스트립	짐 브로스벤트	
1,330 	펜트하우스 코끼리	정승구			엘레비젼		(주)시너지하우스 (시너지)		2009-11-05	일반영화	장편	한국	240	1087284273	144070	352505500	44241	청소년관람불가	145	드라마	멜로/로맨스	장혁	이상우	이민정
1,331 	안나 카레니나	조 라이트				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2013-03-21	일반영화	장편	미국	248	986727000	143947	530093000	74226	15세이상관람가	130	드라마		키이라 나이틀리	주드 로	애런 존슨
1,332 	헬프	테이트 테일러				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2011-11-03	일반영화	장편	미국	163	1045217500	143738	592894500	78752	전체관람가	137	드라마		마이크 보겔	브라이스 달라스 하워드	엠마 스톤
1,333 	지슬 - 끝나지 않은 세월2	오멸			주식회사 자파리필름,설문대영상		(주)영화사 진진		2013-03-21	예술, 독립 영화	장편	한국	81	984416100	143490	450875600	61257	15세이상관람가	108	드라마		이경준	홍상표	문석범
1,334 	키친	홍지영			(주)수필름		실버스푼		2009-02-05	일반영화	장편	한국	179	939320372	142336	394993100	56559	15세이상관람가	102	멜로/로맨스		김태우	신민아	주지훈
1,335 	가시	김태균			(주)캠프비,(주)뱅가드스튜디오		(주)인벤트스톤		2014-04-10	일반영화	장편	한국	356	1094017000	141956	295827600	36552	청소년관람불가	118	멜로/로맨스	드라마	장혁	조보아	선우선
1,336 	굿'바이	타키타 요지로				㈜케이디미디어	㈜케이디미디어		2008-10-30	다양성(예술)영화	장편	일본	167	885687097	141719	399031167	61432	12세이상관람가	130	드라마		모토키 마사히로	히로스에 료코	야마자키 츠토무
1,337 	아르고	벤 애플렉				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2012-10-31	일반영화	장편	미국	238	999347500	140522	389160500	52203	15세이상관람가	120	스릴러		벤 애플렉	존 굿맨	
1,338 	500일의 썸머	마크 웹			스네이크 프리뷰	이십세기폭스코리아(주)	이십세기폭스코리아(주)		2010-01-21	일반영화	장편	미국	185	1064051540	140458	519444500	66078	15세이상관람가	95	드라마	멜로/로맨스	조셉 고든 레빗	주이 데샤넬	
1,339 	블루 재스민	우디 앨런				(주)드림웨스트픽쳐스	(주)인벤트스톤		2013-09-25	예술영화	장편	미국	207	1030316900	140350	686011400	89760	15세이상관람가	98	드라마		케이트 블란쳇	알렉 볼드윈	
1,340 	액트 오브 밸러: 최정예 특수부대 	마이크 맥코이	스캇 워프			(주)부메랑모션픽쳐스	씨너스엔터테인먼트(주)		2012-02-29	일반영화	장편	미국	223	1036484500	139541	332364500	42271	15세이상관람가	110	액션	어드벤처	로셀린 산체즈	네스토르 세라노	
1,341 	마이클 클레이튼	토니 길로이			캐슬 락 엔터테인먼트	(주)누리픽쳐스	롯데쇼핑㈜롯데엔터테인먼트		2007-11-29	일반영화	장편	미국	140	824374500	139301	389765000	64502	15세이상관람가	119	스릴러	드라마	조지 클루니	톰 윌킨슨	
1,342 	꽃보다 남자	이시이 야스하루					롯데쇼핑㈜롯데엔터테인먼트		2008-09-11	일반영화	장편	일본	196	851004500	139217	295082500	45654	12세이상관람가	130	멜로/로맨스		마츠다 쇼타	마츠모토 준	이노우에 마오
1,343 	나이트메어	사무엘 베이어			뉴라인 시네마	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2010-05-20	일반영화	장편	미국	109	1073229640	139140	353516000	43218	청소년관람불가	94	공포	스릴러	재키 얼 헤일리	카일 갤너	루니 마라
1,344 	레이디 인 더 워터	M. 나이트 샤말란			레젼데리 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2006-10-13	일반영화	장편	미국	74	675177000	138462	298953500	61400	전체관람가	109	판타지		폴 지아마티	브라이스 달라스 하워드	
1,345 	극장판 도라에몽: 진구와 철인군단 날아라 천사들	테라모토 유키요				대원미디어㈜	에이원엔터테인먼트		2011-07-28	일반영화	장편	일본	154	937570000	138277	216318000	30271	전체관람가	108	애니메이션	가족	미즈타 와사비		
1,346 	데이브레이커스	마이클 스피어리그			라이온스 게이트 필름즈	(주)성원아이컴	(주)성원아이컴		2010-03-18	일반영화	장편	미국	187	1046842179	137955	362633500	45405	청소년관람불가	98	스릴러	액션	에단 호크	이사벨 루카스	윌렘 데포
1,347 	극장판파워레인저 엔진포스VS 와일드스피릿	모로타 사토시				대원미디어㈜	씨제이엔터테인먼트(주)		2010-01-07	일반영화	장편	일본	125	978723556	137690	221385500	30052	전체관람가	50	SF	액션	후루하라 야스히사	카타오카 신와	아이자와 리나
1,348 	그녀를 모르면 간첩	박한준			(주)엠쓰리엔터테인먼트		쇼박스㈜미디어플렉스		2004-01-30	일반영화	장편	한국	22	187798000	137413	45101000	32884	15세관람가	100	코미디		공유	김정화	
1,349 	50/50	조나단 레빈				(주)프레인글로벌,(주)드림웨스트픽쳐스	롯데쇼핑㈜롯데엔터테인먼트		2011-11-24	다양성(예술)영화	장편	미국	159	1029728500	137205	604651500	77313	15세이상관람가	100	드라마	코미디	조셉 고든 레빗	세스 로건	
1,350 	더 퍼지	제임스 드모나코				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2013-11-06	일반영화	장편	미국	232	1030484000	137126	320267000	40621	청소년관람불가	85	스릴러	SF	에단 호크	레나 헤디	
1,351 	데스티네이션 2	데이비드 R. 엘리스			뉴라인 시네마,자이드-페리 프로덕션	(주)나라이필름	UIP코리아		2004-06-11	일반영화	장편	미국	55	576664000	137000	289234500	63681	18세관람가	90	공포		마이클 랜디스	A.J. 쿡	알리 라터
1,352 	파이터	데이빗 O. 러셀				데이지엔터테인먼트	(주)시너지하우스 (시너지)		2011-03-10	일반영화	장편	미국	263	1033270000	136946	417739500	52806	15세이상관람가	114	드라마		마크 윌버그	크리스찬 베일	
1,353 	그랜 토리노	클린트 이스트우드				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2009-03-19	다양성(예술)영화	장편	미국	109	917074253	136703	494144000	71523	12세이상관람가	116	범죄	스릴러	클린트 이스트우드	크리스토퍼 칼리	비 방
1,354 	에디슨 시티	데이비드 J. 버크			밀레니엄 필름즈	(주)아이비젼 엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트		2006-04-06	일반영화	장편	미국	81	788697000	136612	241601000	35885	15세관람가	98	액션		케빈 스페이시	모건 프리먼	
1,355 	블랙 달리아	브라이언 드 팔마				(주)CM엔터테인먼트	㈜스튜디오이쩜영		2007-11-01	일반영화	장편	독일	183	831712000	136451	331497000	58010	청소년관람불가	120	미스터리	범죄	조쉬 하트넷	스칼렛 요한슨	
1,356 	연리지	김성중			(주)태원엔터테인먼트		쇼박스㈜미디어플렉스		2006-04-13	일반영화	장편	한국	165	696954300	136088	224155800	34656	12세관람가	105	멜로/로맨스	드라마	최지우	조한선	
1,357 	링컨	스티븐 스필버그				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2013-03-14	일반영화	장편	미국	214	941056500	135900	429441000	60711	12세이상관람가	151	드라마	전쟁	다니엘 데이 루이스	조셉 고든 레빗	토미 리 존스
1,358 	제인 에어	캐리 후쿠나가				판씨네마㈜	(주)시너지하우스 (시너지)		2011-04-20	다양성(예술)영화	장편	영국	208	981132000	135797	484702000	64231	12세이상관람가	119	드라마	멜로/로맨스	마이클 패스벤더	미아 와시코브스카	
1,359 	테이킹 라이브즈	D.J. 카루소			워너브러더스사㈜	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2004-04-15	일반영화	장편	미국	19	249467500	135470	72270000	56728	18세관람가	102	스릴러		에단 호크	안젤리나 졸리	
1,360 	빼꼼의 머그잔 여행	임아론			(합)알지애니메이션스튜디오		(합)알지애니메이션스튜디오	씨제이 씨지브이(CJ CGV)(주)	2007-03-22	일반영화	장편	한국	66	560547500	135261	560547500	37899	전체관람가	76	애니메이션		이선	김태균	박상호
1,361 	유희왕	츠지 하츠키			포키즈엔터테인먼트,스튜디오 갸룹,TV 토쿄,니콘 광고 시스템 (NAS),토호 컴퍼니	대원씨앤에이홀딩스	에이원엔터테인먼트		2010-01-28	일반영화	장편	일본	64	95399816	134754	30159000	47449	전체관람가	86	애니메이션	액션	마이크 폴락	웨인 그레이슨	에릭 스튜어트
1,362 	비스틀리	다니엘 반즈				(주)누리픽쳐스	(주)넥스트엔터테인먼트월드(NEW)		2011-03-17	일반영화	장편	미국	214	1008669500	134025	390695000	49495	12세이상관람가	86	판타지	멜로/로맨스	알렉스 페티퍼	바네사 허진스	닐 패트릭 해리스
1,363 	썸머 워즈	호소다 마모루				(주)케이앤엔터테인먼트	씨제이엔터테인먼트(주)		2009-08-13	일반영화	장편	일본	100	951350362	133946	448917500	60884	전체관람가	113	애니메이션	SF	사쿠라바 나나미	카미키 류노스케	
1,364 	링스 어드벤처	마누엘 시실리아	라울 가르시아			(주)성원아이컴	(주)성원아이컴		2009-06-24	일반영화	장편	스페인	158	808603115	133476	211552000	32863	전체관람가	87	애니메이션	코미디	베아트리즈 베르시아노		
1,365 	카운슬러	리들리 스콧				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2013-11-14	일반영화	장편	미국	293	966623000	133272	487802000	64412	청소년관람불가	117	범죄	스릴러	브래드 피	마이클 패스벤더	페넬로페 크루즈
1,366 	죽이고 싶은	김상화	조원희		(주)펀치볼		롯데쇼핑㈜롯데엔터테인먼트		2010-08-26	다양성(예술)영화	장편	한국	145	990122522	133079	275976500	35187	청소년관람불가	92	스릴러		천호진	유해진	김혜정
1,367 	쉘 위 댄스	피터 첼솜			미라맥스 필름즈	월트디즈니컴퍼니코리아(주)	한국소니픽쳐스릴리징브에나비스타영화㈜		2004-11-12	일반영화	장편	미국	87	549961000	132856	293895500	53508	12세관람가	106	드라마		제니퍼 로페즈	리차드 기어	수잔 서랜든
1,368 	마더 데레사	파브리지오 코스타				미디어필름인터내셔날(주)	미디어필름인터내셔날(주)		2005-01-21	다양성(예술)영화	장편	이탈리아	22	342803848	132733	156395848	25242	12세관람가	118	드라마		올리비아 핫세	세바스찬 좀마	
1,369 	파주	박찬옥			(주)티피에스컴퍼니,(주)명필름		(주)엠케이픽처스 		2009-10-28	다양성(예술)영화	장편	한국	131	978601985	132657	392029100	50823	청소년관람불가	111	드라마	멜로/로맨스	이선균	서우	황현규
1,370 	오션월드 3D	장-자크 망텔로				㈜케이디미디어	㈜케이디미디어		2010-08-11	일반영화	장편	영국	102	1394663380	132602	354157000	32403	전체관람가	82	다큐멘터리	어드벤처	마리온 꼬띨라르		
1,371 	리딕	데이빗 토히				데이지엔터테인먼트	(주)영화사 빅		2013-11-28	일반영화	장편	미국	275	927494000	132059	271943000	37236	15세이상관람가	119	SF	액션	빈 디젤	칼 어번	케이티 색호프
1,372 	오늘	이정향			(주)포시즌스카이컴퍼니 		롯데쇼핑㈜롯데엔터테인먼트		2011-10-27	일반영화	장편	한국	207	712814000	131896	256541500	44913	15세이상관람가	119	드라마		송혜교	남지현	송창의
1,373 	파라노말 액티비티 3	헨리 유스트	아리엘 슐만			씨제이이앤엠(주)	씨제이이앤엠(주)		2011-10-20	일반영화	장편	미국	180	948704000	131437	303429500	40112	12세이상관람가	82	공포		케이티 피더스턴		
1,374 	22 블렛	리샤르 베리			유로파 Corp.	㈜케이디미디어	㈜케이디미디어		2010-10-14	일반영화	장편	프랑스	236	994042368	131436	312647500	39585	청소년관람불가	118	액션	범죄	장 르노	카드 메라드	
1,375 	두 여자	정윤수			(주)케이앤엔터테인먼트		씨제이엔터테인먼트(주)		2010-11-18	일반영화	장편	한국	211	981545863	131415	268371500	34133	청소년관람불가	105	멜로/로맨스	드라마	정준호	신은경	심이영
1,376 	블러디 발렌타인	패트릭 루지어			라이온스 게이트 필름즈	㈜메가박스	(주)넥스트엔터테인먼트월드(NEW)		2009-07-22	일반영화	장편	미국	230	1234718589	131217	628413500	60777	청소년관람불가	101	공포	스릴러	젠슨 애클스	제이미 킹	
1,377 	마이클 잭슨의 디스 이즈 잇	케니 오테가				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2009-10-28	다양성(예술)영화	장편	미국	176	980053035	130746	536876000	69856	전체관람가	111	다큐멘터리		마이클 잭슨		
1,378 	라파예트	토니 빌				(주)라이언엔터테인먼트	㈜미로비젼		2007-08-30	일반영화	장편	미국	134	875417500	130678	339796500	50317	15세이상관람가	121	전쟁		장 르노	제임스 프랭코	
1,379 	황시	로저 스포티스우드				데이지엔터테인먼트	씨제이엔터테인먼트(주)		2008-09-18	일반영화	장편	호주	214	812706500	130275	324367500	50313	12세이상관람가	124	전쟁	드라마	조나단 리스 메이어스	주윤발	양자경
1,380 	스트리트댄스	맥스 기와	다니아 파스퀴니			(유)마스엔터테인먼트코리아	(주)시너지하우스 (시너지)		2010-06-16	일반영화	장편	영국	211	1449365627	130153	593141500	50599	12세이상관람가	98	드라마	멜로/로맨스	리처드 윈저	니콜라 벌리	
1,381 	프라이스리스	피에르 살바도리				데이지엔터테인먼트	㈜케이디미디어		2008-05-08	일반영화	장편	프랑스	99	850396500	129645	394801000	58111	15세이상관람가	104	코미디	멜로/로맨스	오드리 토투		
1,382 	클로이	아톰 에고이안			스튜디오 카날	우성엔터테인먼트	(주)시너지하우스 (시너지)		2010-02-25	일반영화	장편	프랑스	183	989894071	129633	416034000	52000	청소년관람불가	95	드라마	스릴러	아만다 사이프리드	리암 니슨	줄리안 무어
1,383 	미스터 브룩스	브루스 A 에반스			메트로-골드윈-마이어	(유)마스엔터테인먼트코리아	(주)시네마서비스		2007-08-30	일반영화	장편	미국	126	833613500	129544	320735000	45963	청소년관람불가	120	스릴러		케빈 코스트너	데미 무어	
1,384 	매치 포인트	우디 알렌			비비씨필름즈	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2006-04-13	일반영화	장편	영국	68	849840600	128958	517594600	72499	18세관람가	123	멜로/로맨스	드라마	조나단 리스 메이어스	스칼렛 요한슨	
1,385 	아더와 미니모이-제1탄비밀원정대의출정	뤽 베송			유로파 Corp.	크리스리픽쳐스인터내셔널(주)	롯데쇼핑㈜롯데엔터테인먼트		2009-07-09	일반영화	장편	프랑스	219	823623531	128531	242967000	35750	전체관람가	102	어드벤처	판타지	프레디 하이모어	미아 패로우	
1,386 	슈퍼히어로	크레이그 마진				데이지엔터테인먼트	싸이더스 픽쳐스		2008-08-21	일반영화	장편	미국	181	815185333	128054	225838833	33509	12세이상관람가	86	SF	액션	드레이크 벨	사라 팩스톤	
1,387 	뮬란: 전사의 귀환	마초성			베이징	아이엠제이 유한회사	(주)에스비에스콘텐츠허브		2010-09-02	일반영화	장편	중국	242	903835077	127495	213840500	28928	12세이상관람가	110	액션	드라마	조미	진곤	
1,388 	구세주 2	황승재			(주)씨와이필름		씨제이엔터테인먼트(주)		2009-02-26	일반영화	장편	한국	228	838666517	127226	181258500	26726	15세이상관람가	100	코미디		최성국	이영은	
1,389 	마담 프루스트의 비밀정원	실뱅 쇼메				찬란,(재)전주국제영화제조직위원회	찬란		2014-07-24	예술영화	장편	프랑스	43	994647642	127112	581960942	71929	전체관람가	106	드라마		귀욤 고익스	앤 르니	
1,390 	버틀러: 대통령의 집사	리 다니엘스				(주)넥스트엔터테인먼트월드(NEW)	(주)넥스트엔터테인먼트월드(NEW)		2013-11-28	일반영화	장편	미국	182	884709000	126870	448171500	62066	15세이상관람가	132	드라마		포레스트 휘테커	오프라 윈프리	데이빗 오예로워
1,391 	솔로몬 케인	마이클 J.버세트			다비스 필름	(주)영화사 이슈	(주)화앤담이엔티		2010-03-25	일반영화	장편	프랑스	199	955021220	126855	302089000	37900	청소년관람불가	104	액션	어드벤처	제임스 퓨어포이	레이첼 허드-우드	막스 본 시도우
1,392 	자토이치	기타노 다케시				(주)스폰지이엔티	인터비스앤파트너스(주)		2004-01-30	다양성(예술)영화	장편	일본	13	157452500	126748	93709500	65840	15세관람가	119	액션		기타노 다케시	아사노 타다노부	오쿠스 미치요
1,393 	하나와 앨리스	이와이 슌지			록웰아이즈 (ロックウェルアイズ)	(유)조이앤컨텐츠그룹,쇼이스트(주)	(주)팝엔터테인먼트	쇼이스트(주)	2004-11-17	일반영화	장편	일본	71	584539000	126100	331985000	63900	12세관람가	135	드라마		아오이 유우	스즈키 안	
1,394 	삼국지: 명장 관우	맥조휘	장문강			(유)조이앤컨텐츠그룹	(주)넥스트엔터테인먼트월드(NEW)		2011-05-19	일반영화	장편	홍콩	207	920899000	125168	292612000	37843	15세이상관람가	110	전쟁	액션	견자단	강문	
1,395 	날으는 돼지 - 해적 마테오	송근식			동우에이앤이(주)		에이아이씨코리아(AIC KOREA)		2004-07-24	일반영화	장편	한국	6	39599000	125000	14421000	90000	전체관람가	82	애니메이션		강수진	노민우	이장우
1,396 	명탐정 코난:베이커가의 망령	카네수구 코다마				(주)온미디어	투니버스(주)온미디어		2008-05-01	일반영화	장편	일본	40	711270500	124139	142096000	25705	12세이상관람가	106	애니메이션		타카야마 미나미	야마자키 와카나	
1,397 	데스 디파잉:어느 마술사의 사랑	질리안 암스트롱				㈜코리아스크린	롯데쇼핑㈜롯데엔터테인먼트		2008-03-27	일반영화	장편	영국	221	798922500	124127	304041000	45726	15세이상관람가	96	드라마	멜로/로맨스	케서린 제타-존스	가이 피어스	
1,398 	페인티드 베일	존 커랜				(주)유니코리아문예투자	(주)프라임엔터테인먼트		2007-03-15	일반영화	장편	중국	38	759934000	123828	433543500	64499	15세이상관람가	124	멜로/로맨스	드라마	에드워드 노튼	나오미 왓츠	
1,399 	마을금고 연쇄습격사건	박상준			필름큐엔터테인먼트,(주)노비스엔터테인먼트		쇼박스㈜미디어플렉스		2007-11-14	일반영화	장편	한국	203	728085000	123770	166709500	25980	15세이상관람가	111	코미디		백윤식	이문식	박효준
1,400 	러시 : 더 라이벌	론 하워드				(주)누리픽쳐스	롯데쇼핑㈜롯데엔터테인먼트		2013-10-09	일반영화	장편	미국	270	908114000	123582	425323000	55553	청소년관람불가	122	액션	드라마	크리스 헴스워스	다니엘 브륄	
1,401 	마법천자문: 대마왕의 부활을 막아라	윤영기			(주)디엔에이프로덕션		씨제이엔터테인먼트(주)		2010-08-19	일반영화	장편	한국	179	800649684	123538	215803000	31777	전체관람가	85	애니메이션		안현국	윤소라	박연진
1,402 	썬더일레븐 극장판 : 최강군단 오우거의 습격	미야오 요시카즈				애니박스 엔터테인먼트	(주)미디어데이		2011-05-05	일반영화	장편	일본	166	811159500	123363	152039500	22030	전체관람가	90	애니메이션	어드벤처	타케우치 준코		
1,403 	리틀 비버	필립 칼드롱				(주)인앤인픽쳐스	쇼박스㈜미디어플렉스		2009-04-30	일반영화	장편	프랑스	116	739408802	123065	202891500	32064	전체관람가	72	가족	어드벤처	브누아 브리에르		
1,404 	똥파리	양익준			몰필름		(주)영화사 진진		2009-04-16	다양성(예술)영화	장편	한국	68	844521819	123046	444826700	62952	청소년관람불가	130	드라마		양익준	김꽃비	이환
1,405 	애프터 라이프	아그네츠카 보토위츠 보슬루			레쥬	(주)영화사아이비젼	(주)시너지하우스 (시너지)		2010-09-02	일반영화	장편	미국	185	900663278	122963	267652500	34643	15세이상관람가	103	드라마	미스터리	크리스티나 리치	리암 니슨	저스틴 롱
1,406 	솔로이스트	조 라이트			드림웍스 SKG	유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2009-11-19	다양성(예술)영화	장편	미국	175	898812915	122841	464296500	60577	12세이상관람가	116	드라마		로버트 다우니 주니어	제이미 폭스	
1,407 	그렇게 아버지가 된다	고레에다 히로카즈				(주)티캐스트콘텐츠허브	(주)티캐스트콘텐츠허브		2013-12-19	예술영화	장편	일본	41	934628662	122797	662840500	84187	전체관람가	121	드라마	가족	후쿠야마 마사하루	오노 마치코	릴리 프랭키
1,408 	애인	김태은			기획시대(주)		쇼박스㈜미디어플렉스		2005-12-08	일반영화	장편	한국	114	625824000	122780	205295500	31610	18세관람가	98	멜로/로맨스		성현아	조동혁	한지원
1,409 	실버라이닝 플레이북	데이빗 O. 러셀				(주)누리픽쳐스	(주)나이너스엔터테인먼트		2013-02-14	예술영화	장편	미국	226	915598500	122698	561167500	73251	청소년관람불가	122	멜로/로맨스	코미디	제니퍼 로렌스	브래들리 쿠퍼	로버트 드니로
1,410 	겟 썸	제프 와드로				컬쳐메이커스엔터테인먼트	㈜스튜디오이쩜영		2008-05-22	일반영화	장편	미국	165	783743000	122410	248361000	37577	12세이상관람가	112	액션	드라마	숀 패리스	엠버 허드	캠 지갠뎃
1,411 	사다코 3D : 죽음의 동영상	하나부사 츠토무				오퍼스픽쳐스	KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)		2012-06-14	일반영화	장편	일본	262	1128635032	122382	256930532	26345	15세이상관람가	95	공포		이시하라 사토미	세토 코지	아먀모토 유스케
1,412 	극장판 도라에몽: 진구의 비밀도구 박물관	테라모토 유키요				대원미디어㈜	롯데쇼핑㈜롯데엔터테인먼트		2013-07-25	일반영화	장편	일본	239	780545500	122172	151581500	22339	전체관람가	104	애니메이션	어드벤처	미즈타 와사비	오오하라 메구미	
1,413 	마이 캡틴  김대출	송창수			(주)진인사필름		(주)스튜디오이쩜영		2006-04-20	일반영화	장편	한국	165	663174000	122098	194221500	28692	12세관람가	104	코미디	드라마	정재영	장서희	임상운
