Number	Movie_Title	Director1	Production_Company	Importer	Distributor1	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number
2300	나이트폴	주현량		(주)고맙습니다사랑합니다	(주)나이너스엔터테인먼트	2012-09-27	일반영화	장편	홍콩	108	99076000	13307	40680500	5303
2301	더 도어	안노 사울	유스트 필름프로덕션	(주)컴퍼니엘	예지림엔터테인먼트	2010-09-02	일반영화	장편	독일	26	103443099	13283	50924500	6314
2302	어느 예술가의 마지막 일주일	마르잔 사트라피		(주)키노아이디엠씨	프리비젼엔터테인먼트	2013-06-20	일반영화	장편	프랑스	18	93001000	13267	54354500	7218
2303	하이 스쿨 뮤지컬: 졸업반	케니 오테가	월트 디즈니 픽쳐스	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-02-19	일반영화	장편	미국	9	82871663	13217	52083000	8154
2304	런치박스	리테쉬 바트라		(주)피터팬픽쳐스	(주)팝엔터테인먼트	2014-04-10	일반영화	장편	인도	40	99580000	13213	58665300	7554
2305	올 이즈 로스트	J.C 챈더		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-11-07	일반영화	장편	미국	33	97529000	13196	70416500	9340
2306	파닥파닥	이대희	(주)이대희 애니메이션스튜디오		씨제이이앤엠(주)	2012-07-25	일반영화	장편	한국	51	87647900	13194	44068900	6513
2307	골!	대니 캐넌		브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아	2005-11-04	일반영화	장편	미국	0	0	13165	0	4871
2308	내 청춘에게 고함	김영남	엔에이치케이 언터프라이즈 21,(주)이모션픽처스,무무픽처스		(주)이모션픽처스	2006-07-13	일반영화	장편	한국	0	0	13124	0	10372
2309	48미터	민백두	한엔터테인먼트		씨제이이앤엠(주)	2013-07-04	일반영화	장편	한국	35	101214000	13118	46252500	5855
2310	내가 사는 피부	페드로 알모도바르		(주)스폰지이엔티	(주)영화사 조제	2011-12-29	일반영화	장편	스페인	16	103927500	13090	86719000	10683
2311	더 레이디	뤽 베송		씨제이이앤엠(주)	씨제이이앤엠(주)	2012-09-06	일반영화	장편	프랑스	97	96024000	13051	55472500	7199
2312	타임 투 리브	프랑소와 오종	피델라이트프로덕션,스튜디오 카날	스폰지	스폰지	2006-02-09	일반영화	장편	프랑스	0	0	13050	0	11441
2313	경축! 우리사랑	오점균	㈜아이비픽쳐스		(주)스폰지이엔티,스폰지	2008-04-10	일반영화	장편	한국	31	83288000	13016	37559500	5619
2314	사랑은 타이핑 중!	레지스 르왕사르		판씨네마㈜	판씨네마㈜	2013-05-22	일반영화	장편	프랑스	114	87617561	12983	48112061	7011
2315	연애사진	츠츠미 유키히코	쇼지쿠 컴퍼니	(주)스폰지이엔티	(주)스폰지이엔티	2004-04-09	일반영화	장편	일본	0	0	12981	0	6959
2316	나의 판타스틱 데뷔작	가스 제닝스		시네마밸리	예지림엔터테인먼트	2009-05-07	일반영화	장편	영국	75	80703773	12941	41576500	6484
2317	아바타 정글의 비밀	슈커		주식회사 풍경소리	(주)팝엔터테인먼트	2014-03-27	일반영화	장편	중국	162	86145900	12876	15537400	2200
2318	원스 어게인	카를로 미라벨라 데이비스		(주)영화사 진진	(주)영화사 진진	2012-01-12	일반영화	장편	미국	28	99349300	12866	72633300	9046
2319	새 구두를 사야해	키타가와 에리코		(주)영화사 진진	(주)영화사 진진	2013-04-25	일반영화	장편	일본	25	92332000	12845	67185500	9052
2320	세이빙 미스터 뱅크스	존 리 행콕		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-04-03	일반영화	장편	미국	56	100274300	12831	50048800	6236
2321	킥 애스 2 : 겁없는 녀석들	제프 와드로		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-10-17	일반영화	장편	미국	152	92028000	12827	45288500	6085
2322	엘리펀트	구스 반 산트	피어메이커스스튜디오,HBO필름,파이 필름	(주)동숭아트센터	(주)동숭아트센터	2004-08-27	일반영화	장편	미국	0	0	12812	0	11745
2323	내 슬픈 창녀들의 추억	헨닝 칼슨		CGV 무비꼴라쥬	CGV 무비꼴라쥬	2012-07-19	일반영화	장편	멕시코	15	77072500	12806	59410500	10303
2324	아유레디?	허원	더패스오브라이프 		(주)나이너스엔터테인먼트	2013-09-26	일반영화	장편	한국	21	87050500	12767	49108000	6947
2325	레알	보르하 만소			씨제이엔터테인먼트(주)	2005-11-23	일반영화	장편	스페인	0	0	12733	0	6634
2326	콰르텟	더스틴 호프만		㈜영화사 백두대간	㈜영화사 백두대간	2013-03-28	일반영화	장편	영국	37	90236000	12717	64225000	8613
2327	사다코 2	하나부사 츠토무		(주)도키엔터테인먼트	(주)미디어데이	2014-03-13	일반영화	장편	일본	100	92668200	12696	21654300	2919
2328	서유기 리턴즈	신동엽	(주)서울무비웍스		(주)영화사 조제	2011-02-17	일반영화	장편	한국	59	80194000	12696	13435000	2044
2329	시선	이장호	크로스픽쳐스(주),드림타워 		(주)나이너스엔터테인먼트	2014-04-16	일반영화	장편	한국	112	90171000	12694	36737200	5149
2330	럼 다이어리	브루스 로빈슨		(주)드림웨스트픽쳐스	(주)마인스 엔터테인먼트	2012-09-20	일반영화	장편	미국	126	91844000	12685	45236000	6058
2331	극장판 토리코 : 미식신의 스페셜메뉴	자코 아키후미		중앙애니메이션	(주)미디어데이	2013-11-28	일반영화	장편	일본	38	83206000	12635	19963500	2922
2332	레고:클러치파워의 모험	하워드 E.베이커	트래슐드 애니메이션 스튜디오	(주)유이케이	유니버설픽쳐스인터내셔널 코리아(유)	2010-06-10	일반영화	장편	미국	56	87727863	12631	32830000	4287
2333	다섯 개의 시선	정지우	국가인권위원회		씨제이엔터테인먼트(주)	2006-01-13	일반영화	옴니버스	한국	0	0	12621	0	9987
2334	믿음의 승부	알렉스 켄드릭	카멜 엔터테인먼트,데스티네이션 필름,사무엘 골드윈 필름,셔우드 픽쳐스,프로비던트 필름	크로스픽쳐스(주)	크로스픽쳐스(주)	2010-04-15	일반영화	장편	미국	3	84681026	12572	61414000	9072
2335	브로큰 시티	알렌 휴즈		(유)조이앤컨텐츠그룹	(주)팝파트너스	2013-04-04	일반영화	장편	미국	80	90551000	12557	38153000	5216
2336	코스모폴리스	데이빗 크로넨버그		(주)더블앤조이픽쳐스	(주)더블앤조이픽쳐스	2013-06-27	일반영화	장편	캐나다	28	94707700	12545	60800200	7522
2337	플레이	남다정	시네마달,(주)잉크스팟		(주)영화사 진진	2011-06-23	일반영화	장편	한국	33	90815000	12536	65130000	8656
2338	엔딩노트	마미 스나다		(주)영화사 진진	(주)영화사 진진	2012-11-29	일반영화	장편	일본	13	87708500	12491	67874000	9194
2339	커피와 담배	짐 자무시		(주)스폰지이엔티	(주)스폰지이엔티	2006-07-27	일반영화	장편	미국	0	0	12476	0	10955
2340	코파카바나	마르끄 피투시		(주)티캐스트	(주)티캐스트	2011-05-26	일반영화	장편	프랑스	7	98381000	12462	89059000	11058
2341	동쪽의 에덴 극장판 ① 더 킹오브 에덴	카미야마 켄지	아스믹에이스엔터테인먼트,프로덕션 I.G.	애니박스 엔터테인먼트	애니박스 엔터테인먼트	2010-01-28	일반영화	장편	일본	53	84550985	12460	35097500	4985
2342	샤넬과 스트라빈스키	얀 쿠넹		(주)유니코리아문예투자	(주)씨타마운틴픽쳐스	2011-08-25	일반영화	장편	프랑스	20	96159500	12439	77300000	9787
2343	바리바리 짱	남기남	나눔엔터테인먼트		씨제이엔터테인먼트(주)	2005-08-19	일반영화	장편	한국	0	0	12417	0	2063
2344	할람 포	데이빗 맥킨지		(주)영화사 진진	(주)영화사 진진	2008-04-30	일반영화	장편	영국	15	84243500	12379	56498000	8018
2345	공기인형	고레에다 히로카즈	아스믹에이스엔터테인먼트	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-04-08	일반영화	장편	일본	15	95369439	12371	70156800	8913
2346	하얀리본	미카엘 하네케	엑스-필름 크리에이티브 풀,웨가 필름,르 필름즈 두 로자즈,럭키 레드	(주)피터팬픽쳐스	(주)영화사 진진	2010-07-01	일반영화	장편	독일	2	90595994	12367	87078600	11850
2347	호텔 르완다	테리 조지	유나이티드 아티스트,라이온스 게이트 필름즈	(주)동숭아트센터	(주)동숭아트센터	2006-09-07	일반영화	장편	영국	0	0	12353	0	9289
2348	트루맛쇼	김재환	(주)비투이		(주)더 피플	2011-06-02	일반영화	장편	한국	11	93784000	12311	67972500	8428
2349	숨	김기덕	(주)김기덕 필름		스폰지	2007-04-26	일반영화	장편	한국	0	0	12293	0	8954
2350	세비지 그레이스	톰 칼린		위드시네마	실버스푼	2009-07-09	일반영화	장편	프랑스	8	88603805	12288	68119500	9190
2351	제로 포커스	이누도 잇신		거원시네마(주)	씨제이엔터테인먼트(주)	2010-03-25	일반영화	장편	일본	76	90753873	12260	37132500	4789
2352	로큰롤 인생	스티븐 워커		(주)영화사 진진	(주)영화사 진진	2008-11-27	일반영화	장편	영국	4	78891181	12255	70507000	10901
2353	벨라	알레한드로 고메즈 몬테베르드		크로스픽쳐스(주)	실버스푼	2009-10-01	일반영화	장편	미국	17	90113866	12250	65814000	8894
2354	밤의 이야기	미셸 오슬로		데이지엔터테인먼트	데이지엔터테인먼트	2012-11-29	일반영화	장편	프랑스	21	92276000	12249	70957000	9243
2355	취한 말들을 위한 시간	바흐만 고바디			㈜영화사 백두대간	2004-07-30	일반영화	장편	이란	0	0	12099	0	12099
2356	맨데이트: 신이 주신 임무	박희준	메가픽쳐스제이씨(주)		메가픽쳐스제이씨(주)	2008-10-30	일반영화	장편	한국	84	78616000	12087	18421000	2648
2357	조금만 더 가까이	김종관	㈜인디스토리,조금만 더 가까이 제작위원회		KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)	2010-10-28	일반영화	장편	한국	20	92621543	12082	64697700	8193
2358	르누아르	질 부르도스		(주)피터팬픽쳐스	프리비젼엔터테인먼트	2014-02-13	일반영화	장편	프랑스	22	87654900	12056	71332900	9511
2359	토마스와 친구들: 블루마운틴 미스터리	그렉 티어넌		그린나래미디어(주)	(주)팝엔터테인먼트	2013-10-17	일반영화	장편	영국	49	80186500	12054	34987000	4765
2360	사라의 열쇠	질스 파겟-브레너		(주)미디어데이	(주)미디어데이	2011-08-11	일반영화	장편	프랑스	13	91385400	12049	69635400	8835
2361	펄스	짐 손제로		(주)유니코리아문예투자	(주)유니코리아문예투자	2007-08-22	일반영화	장편	미국	0	0	12043	0	4695
2362	모스트 원티드 맨	안톤 코르빈		(주)드림웨스트픽쳐스	(주)드림웨스트픽쳐스	2014-08-07	일반영화	장편	영국	27	97558200	12034	67260900	8323
2363	고양이 춤	윤기형	고양이구름 필름		㈜인디스토리	2011-11-17	일반영화	장편	한국	24	89895300	12033	56694800	7373
2364	디태치먼트	토니 케이		(주)수키픽쳐스	(주)프레인글로벌	2014-05-08	일반영화	장편	미국	41	91678900	12031	55176400	6993
2365	세션 : 이 남자가 사랑하는 법   	벤 루윈		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2013-01-17	일반영화	장편	미국	15	94415500	11974	82272500	10388
2366	내가 고백을 하면	조성규	(주)영화사 조제,(주)스폰지이엔티		(주)마인스 엔터테인먼트	2012-11-15	일반영화	장편	한국	37	91430000	11969	65202000	8384
2367	래빗 홀	존 카메론 밋첼		(주)누리픽쳐스	프리비젼엔터테인먼트	2011-12-22	일반영화	장편	미국	16	93087400	11939	72374400	8976
2368	씨민과 나데르의 별거	아쉬가르 파르하디		(주)영화사 진진	(주)영화사 진진	2011-10-13	일반영화	장편	이란	17	89295500	11879	77775500	9956
2369	페어리테일: 봉황의 무녀	후지모리 마사야		(주)머스트씨무비릴리징컴퍼니	(주)나이너스엔터테인먼트	2013-02-28	일반영화	장편	일본	50	79291500	11830	19749500	2825
2370	윈터스 본	데브라 그래닉		씨제이엔터테인먼트(주)	씨제이엔터테인먼트㈜	2011-01-20	일반영화	장편	미국	11	93445200	11823	58296200	7232
2371	브리치	빌리 레이	유니버셜 픽쳐스	필름메신저	필름메신저	2007-08-30	일반영화	장편	미국	0	0	11811	0	7574
2372	시스터 	우슬라 마이어		그린나래미디어(주)	그린나래미디어(주)	2012-08-09	일반영화	장편	프랑스	19	87788500	11808	64218500	8177
2373	피쉬와 칩스 극장판	댄 크레치		(주)토러스엔터테인먼트	(주)마인스 엔터테인먼트	2014-03-06	일반영화	장편	호주	158	80252400	11802	19836500	2698
2374	돈 존	조셉 고든 레빗		(주)누리픽쳐스	(주)미디어데이	2014-01-09	일반영화	장편	미국	49	94451000	11774	55456000	6807
2375	차가운 장미	필립 클로델		(주)티캐스트콘텐츠허브	(주)티캐스트콘텐츠허브	2014-05-29	일반영화	장편	프랑스	22	90167000	11743	74234500	9362
2376	존 레논 비긴즈-노웨어 보이	샘 테일러-우드	에코스 필름	(주)케이앤엔터테인먼트	프리비젼엔터테인먼트	2010-12-09	일반영화	장편	영국	15	87373085	11728	67514800	8915
2377	세라핀	마르탱 프로보스트		(주)에스와이코마드	(주)영화사구안	2009-06-04	일반영화	장편	프랑스	4	80955534	11674	72720500	10359
2378	소명 하늘의 별	신현원	신현원프로덕션		(주)에스피엠	2013-03-21	일반영화	장편	한국	33	75082000	11666	26749500	3690
2379	범죄소년	강이관	국가인권위원회,(주)영화사 남원		타임스토리그룹(주)	2012-11-22	일반영화	장편	한국	56	81259800	11655	36793800	4969
2380	퍼니셔	조나단 헨스라이	마블 엔터테인먼트	콜럼비아트라이스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2004-09-10	일반영화	장편	미국	0	0	11645	0	2638
2381	리틀 애쉬 : 달리가 사랑한 그림	폴 모리슨	에이피티 필름스	판씨네마㈜	판씨네마㈜	2010-01-14	일반영화	장편	영국	12	89023200	11613	61208500	7951
2382	페르세폴리스	뱅상 파로노		(주)스폰지이엔티	(주)스폰지이엔티	2008-05-08	일반영화	장편	프랑스	8	78643600	11575	72843500	10600
2383	최종병기 활 감독확장판	김한민	(주)디씨지플러스,(주)다세포클럽		롯데쇼핑㈜롯데엔터테인먼트	2011-10-20	일반영화	장편	한국	52	86374000	11547	37105500	4711
2384	야곱 신부의 편지	클라우스 해로		뉴원시네마	뉴원시네마	2012-05-10	일반영화	장편	핀란드	33	79767000	11546	51748000	7332
2385	슈퍼히어로	에두와르도 슐츠		(유)조이앤컨텐츠그룹	(주)영화사 빅	2013-07-31	일반영화	장편	페루	74	73535000	11469	25202500	3799
2386	북극의 눈물	허태정	(주)MBC씨앤아이		실버스푼	2009-10-15	일반영화	장편	한국	44	76795707	11420	40419000	6216
2387	황제펭귄 펭이와 솜이	김진만	㈜MBC		(주)씨타마운틴픽쳐스	2012-08-08	일반영화	장편	한국	55	81590500	11418	35832000	4843
2388	타이치0 3D	풍덕륜		(유)조이앤컨텐츠그룹	(주)영화사 빅	2013-07-04	일반영화	장편	홍콩	116	76315000	11414	26837500	3904
2389	해피 해피 브레드	미시마 유키코		씨네21아이(주)	씨네21아이(주)	2012-06-28	일반영화	장편	일본	9	83452000	11403	62487000	7995
2390	조난자들	노영석	스톤워크		씨제이이앤엠(주)	2014-03-06	일반영화	장편	한국	46	87965500	11402	42379800	5210
2391	그들 각자의 영화관	테오 앙겔로풀로스		(주)유레카픽쳐스 	(주)유레카픽쳐스 	2008-05-15	일반영화	장편	프랑스	10	76259500	11348	60280000	8841
2392	내 곁에 있어줘	에릭 쿠	자오 웨이 필름,Infinite Frameworks PTE LIMITED	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2006-04-27	일반영화	장편	싱가포르	0	0	11343	0	10707
2393	심플 라이프	허안화		㈜미로비젼	㈜미로비젼	2012-11-22	일반영화	장편	홍콩	21	83971500	11316	72106500	9345
2394	나루토 질풍전 극장판 4 - 더 로스트 타워	무라타 마사히코		애니박스 엔터테인먼트	애니박스 엔터테인먼트	2010-12-02	일반영화	장편	일본	60	75809236	11221	21643500	3131
2395	이대근 이 댁은	심광진	(주)영화사윤앤준		(주)프라임엔터테인먼트	2007-05-01	일반영화	장편	한국	0	0	11206	0	2386
2396	녹색의자	박철수	합동영화사,(주)박철수필름		㈜미로비젼	2005-06-09	일반영화	장편	한국	0	0	11178	0	8589
2397	극장판 메이저 : 우정의 강속구	카토 타카오		에이원엔터테인먼트	에이원엔터테인먼트	2011-10-20	일반영화	장편	일본	105	70124000	11162	18394000	2688
2398	닐스의 모험	오시이 마모루		에이원엔터테인먼트	에이원엔터테인먼트	2014-02-27	일반영화	장편	일본	107	77024900	11161	21535700	3099
2399	와즈다	하이파 알-만수르		크리스리픽쳐스인터내셔널(주)	(주)프레인글로벌	2014-06-19	일반영화	장편	기타	51	79998200	11135	46823000	6146
2400	익스트림 No.13	겔라 바블루아니		(유)조이앤컨텐츠그룹	(주)팝파트너스	2012-10-03	일반영화	장편	미국	108	80120516	11130	25428016	3339
2401	소라닌	미키 타카히로	아스믹에이스엔터테인먼트	(주)스폰지이엔티	(주)스폰지이엔티	2010-08-26	일반영화	장편	일본	12	82518575	11090	61922500	8302
2402	무산일기	박정범	세컨드윈드 필름		(주)영화사 진진	2011-04-14	일반영화	장편	한국	7	82873400	11085	65526900	8376
2403	춤추는 꿈틀이 밴드	토마스 보르히 닐슨	디스코 오르메네	(주)케이앤엔터테인먼트	에이원엔터테인먼트	2010-02-04	일반영화	장편	덴마크	48	74013035	11061	23609000	3481
2404	스틸라이프	지아 장 커		위드시네마	위드시네마	2007-06-14	일반영화	장편	홍콩	0	0	11049	0	9718
2405	모래와 안개의 집	바딤 피얼먼	드림웍스 SKG	미디어라인코리아	미디어라인코리아	2005-04-29	일반영화	장편	미국	0	0	10987	0	2132
2406	엔드 오브 왓치	데이비드 에이어		KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)	(주)인벤트스톤	2012-12-06	일반영화	장편	미국	54	81214500	10985	32884000	4389
2407	마을에 부는 산들바람	야마시타 노부히로		(주)스폰지이엔티	(주)스폰지이엔티	2008-07-24	일반영화	장편	일본	6	72268500	10972	63775500	9440
2408	손오공: 돌원숭이의 탄생	스기노 아키오		에이원엔터테인먼트	에이원엔터테인먼트	2012-09-13	일반영화	장편	일본	83	69621000	10965	14423000	2011
2409	모래가 흐르는 강	지율	초록의 공명,(주)시네마달		(주)시네마달	2013-03-28	일반영화	장편	한국	17	71055900	10942	17298900	2687
2410	곤충왕국 3D	김진만	㈜MBC		골든타이드픽처스(주)	2014-08-14	일반영화	장편	한국	39	82785300	10938	43001400	5358
2411	권태	세드릭 칸	제미니필름,마드라고아 필름즈	㈜영화사 백두대간	㈜영화사 백두대간	2005-06-17	일반영화	장편	프랑스	0	0	10935	0	9593
2412	헬로우 마이 러브	김아론	에임하이픽처스		씨제이엔터테인먼트(주)	2009-10-08	일반영화	장편	한국	39	80734606	10905	51171500	6646
2413	비지터	톰 맥카시		(유)조이앤컨텐츠그룹	프리비젼엔터테인먼트	2012-11-08	일반영화	장편	미국	10	83367100	10895	73813600	9487
2414	혜화, 동	민용근	비밀의화원		㈜인디스토리	2011-02-17	일반영화	장편	한국	23	81228600	10843	61263100	7819
2415	아이스맨	아리엘 브로멘		스크린조이	스크린조이	2014-03-27	일반영화	장편	미국	20	10178000	10842	2358000	305
2416	말리	케빈 맥도널드		CGV 무비꼴라쥬	CGV 무비꼴라쥬	2012-08-02	일반영화	장편	미국	13	80555500	10823	66978500	8934
2417	다시, 뜨겁게 사랑하라!	수잔 비에르		(주)영화사폴	(주)마인스 엔터테인먼트	2013-01-03	일반영화	장편	덴마크	34	79827500	10761	43394000	5782
2418	토니 타키타니	이치카와 준		스폰지	스폰지	2005-09-22	일반영화	장편	일본	0	0	10751	0	10751
2419	파라노만	샘 펠		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-02-07	일반영화	장편	미국	54	73311000	10654	30242000	4376
2420	용서받지 못한 자	윤종빈	에이앤디픽쳐스 		영화사청어람(주)	2005-11-18	일반영화	장편	한국	0	0	10647	0	8686
2421	내 남자의 순이	김호준	여해 엔터테인먼트,㈜프레임 에이치 컨텐츠 그룹		(주)새인컴퍼니	2010-05-27	일반영화	장편	한국	100	74274657	10618	15711500	2057
2422	미래는 고양이처럼	미란다 줄리		(주)티캐스트	(주)티캐스트	2012-05-17	일반영화	장편	미국	17	86013500	10615	78643500	9440
2423	라스트 키스	가브리엘 무치노	판당고	㈜영화사 백두대간	㈜영화사 백두대간	2006-07-06	일반영화	장편	이탈리아	0	0	10608	0	10481
2424	백투더 씨	톰 루		(주)타임픽쳐스	와이드 릴리즈(주)	2014-08-21	일반영화	장편	중국	85	71416300	10562	9568300	1316
2425	르 아브르	아키 카우리스마키		찬란	찬란	2011-12-08	일반영화	장편	핀란드	9	81524500	10560	69715500	8646
2426	노 맨스 랜드	다니스 타노비치	카우니핸 빌리어스 프로덕션		㈜영화사 백두대간	2004-12-03	일반영화	장편	프랑스	0	0	10556	0	9538
2427	유아 넥스트	아담 윈가드		㈜영화사 백두대간	㈜영화사 백두대간	2014-08-07	일반영화	장편	미국	78	86648900	10543	34400900	4114
2428	샤인 어 라이트(1st 지드래곤 콘서트)	정치영	(주)와이지엔터테인먼트		(주)와이지엔터테인먼트	2010-04-15	일반영화	장편	한국	14	92618161	10516	40052000	4402
2429	추적자	무로가 아츠시		스크린조이	스크린조이	2014-03-06	일반영화	장편	일본	5	6310000	10502	520000	104
2430	마이 쎄시 걸	얀 사뮤엘	쇼박스㈜미디어플렉스,골드써클필름		쇼박스㈜미디어플렉스	2008-10-30	일반영화	장편	미국	54	69825500	10448	25349500	3722
2431	부에노스 아이레스 탱고 카페	미구엘 코한		(주)영화사 진진	(주)영화사 진진	2008-11-06	일반영화	장편	미국	3	72267205	10424	65256500	9312
2432	다즐링 주식회사	웨스 앤더슨		이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2007-12-13	일반영화	장편	미국	0	0	10418	0	9396
2433	러브 매니지먼트	스티븐 벨버		(주)스폰지이엔티	싸이더스 픽쳐스	2009-12-31	일반영화	장편	미국	43	79627703	10393	32620000	4054
2434	로봇 앤 프랭크	제이크 슈레이어		(주)화인픽쳐스	(주)마인스 엔터테인먼트	2013-01-17	일반영화	장편	미국	38	69243000	10379	46221000	6807
2435	셉템버 이슈	R.J. 커들러	에이엔이 인디필름	㈜미로비젼	㈜미로비젼	2010-01-28	일반영화	장편	미국	10	79992616	10367	70206700	9041
2436	음양사2	타키타 요지로	도호쿠신샤,티비에스	(주)아펙스 엔터테인먼트	(주)아펙스 엔터테인먼트	2004-06-25	일반영화	장편	일본	0	0	10362	0	124
2437	피와 뼈	최양일		스폰지	스폰지	2005-02-25	일반영화	장편	일본	0	0	10351	0	7226
2438	당신에게도 사랑이 다시 찾아올까요?	가브리엘 무치노		(유)조이앤컨텐츠그룹	(주)영화사 빅	2013-10-17	일반영화	장편	미국	104	70430500	10328	34185000	4790
2439	피구의 제왕	로슨 마샬 터버		이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2004-11-12	일반영화	장편	미국	0	0	10320	0	4780
2440	이토록 뜨거운 순간	에단 호크		스폰지	스폰지	2007-12-20	일반영화	장편	미국	0	0	10312	0	8201
2441	판타스틱 플래닛	르네 랄루		㈜영화사 백두대간	㈜영화사 백두대간	2004-04-09	일반영화	장편	프랑스	0	0	10306	0	8121
2442	우작	누리 빌제 세일란	엔비시 스튜디오즈	(주)문필름코리아	(주)문필름코리아	2004-11-05	일반영화	장편	터키	0	0	10294	0	8794
2443	최후의 툰드라-극장판	장경수	㈜에스비에스		(주)에스비에스콘텐츠허브	2011-02-17	일반영화	장편	한국	39	67143500	10169	32191500	4871
2444	일대일	김기덕	(주)김기덕 필름		(주)김기덕 필름	2014-05-22	일반영화	장편	한국	53	78745100	10141	37147500	4706
2445	드래프트 데이	이반 라이트만		(주)포커스엔터테인먼트	(주)영화사 빅	2014-07-10	일반영화	장편	미국	82	74216200	10119	43559500	5509
2446	마리 앙투아네트	소피아 코폴라	콜럼비아 픽쳐스 코포레이션	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-05-17	일반영화	장편	미국	0	0	10107	0	9760
2447	량강도 아이들	김성훈	(주)영화사샘		(주)영화사샘	2011-11-17	일반영화	장편	한국	34	67824000	10091	19616500	2666
2448	세 번째 사랑	리처드 J. 루이스		미디어소프트	(주)씨타마운틴픽쳐스	2012-01-12	일반영화	장편	캐나다	15	79548000	10075	61727500	7736
2449	사이렌	츠츠미 유키히코		(주)아미가스필름	(주)아미가스필름	2006-07-20	일반영화	장편	일본	0	0	10055	0	4916
2450	이니셜 D	유위강	미디어 아시아 필름즈,실-메트로폴 오카니제이션	CNS엔터테인먼트	미디어라인코리아	2006-03-01	일반영화	장편	홍콩	0	0	10036	0	4356
2451	타이페이 카페 스토리	샤오 야 췐		찬란	찬란	2011-07-07	일반영화	장편	대만	10	76832900	10023	58237900	7316
2452	테라 3D: 인류 최후의 전쟁	아리스토메니스 치바스	메니딩스	(유)조이앤컨텐츠그룹	(주)씨타마운틴픽쳐스	2010-11-04	일반영화	장편	미국	48	106210549	10023	44666000	4216
2453	미 앤 유 앤 에브리원	미란다 줄라이	IFC필름,필름포	(주)동숭아트센터	(주)동숭아트센터	2006-01-27	일반영화	장편	미국	0	0	10018	0	8992
2454	한길수	이인수	㈜트라이엄프픽쳐스		미디어라인코리아	2005-09-23	일반영화	장편	한국	0	0	10000	0	526
2455	미안해, 고마워	송일곤	(주)보리픽쳐스		(주)키노아이디엠씨	2011-05-26	일반영화	옴니버스	한국	19	73843000	9998	49632500	6547
2456	안경	오기가미 나오코		스폰지	스폰지	2007-11-29	일반영화	장편	일본	0	0	9997	0	8420
2457	노라 없는 5일	마리아나 체닐로	카세로라 필름	프리비젼엔터테인먼트	프리비젼엔터테인먼트	2010-10-21	일반영화	장편	멕시코	9	73298825	9994	60447900	8136
2458	아주르와 아스마르	미셸 오슬로		폴인씨네마	폴인씨네마	2008-02-21	일반영화	장편	프랑스	14	56605000	9939	40354000	6906
2459	데저트 플라워	쉐리 호만	데저트플라워 필름프로덕션	(주)영화사구안	(주)영화사구안	2010-04-22	일반영화	장편	영국	15	72995560	9898	45795000	6142
2460	프리키 프라이데이	마크 S. 워터스		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2004-04-02	일반영화	장편	미국	0	0	9815	0	3145
2461	두 아내	이숭환	(유)조이앤컨텐츠그룹		(유)조이앤컨텐츠그룹	2014-03-17	일반영화	장편	한국	2	8695000	9814	790000	158
2462	루르드	예시카 하우스너		오드	프리비젼엔터테인먼트	2011-02-17	일반영화	장편	 오스트리아	6	63419500	9792	39793000	5935
2463	재스퍼	에카르트 핑베르크		데이지엔터테인먼트	(주)시너지하우스 (시너지)	2011-08-17	일반영화	장편	독일	86	65333500	9753	14861000	2107
2464	천번의 굿나잇	에릭 포페		(주)시네마리퍼블릭	(주)마인스 엔터테인먼트	2014-07-03	일반영화	장편	노르웨이	26	70645000	9732	38889300	5050
2465	콰이어트 맨	프랭크 A 카펠로		에이케이엔터테인먼트(주)	프리비젼엔터테인먼트	2008-11-27	일반영화	장편	미국	12	65281536	9694	44524500	6349
2466	메탈리카 스루 더 네버	님로드 안탈		(주)나이너스엔터테인먼트	(주)나이너스엔터테인먼트	2013-11-14	일반영화	장편	미국	30	105842800	9662	87426800	7750
